Book Title,Star Rating,Discount,Publisher,Publication Date,Sales Rank,Zone #,# of Other Books Placed with,Amount of Priority
Memorial: A Novel,4.5,0.2,Penguin Publishing Group,27-Oct-20,442,1,0,1
A Promised Land,3.9,0.22,Crown Publishing Group,17-Nov-20,1,1,0,1
The Witch Hunter,4,0,Penguin Publishing Group,27-Oct-20,111,2,0,2
When Time Stopped: A Memoir of My Father's War and What Remains,4.8,0.17,Scribner,3-Nov-20,119,2,0,2
Call Me by Your Name,4.7,0.18,Picador,22-Jan-08,642,3,13,-10
The Mother-in-Law,4.3,0,St. Martin''s Publishing Group,10-Mar-20,1718,3,13,-10
A Darker Shade of Magic,4.6,0.12,Tom Doherty Associates,19-Jan-16,3825,3,13,-10
Rich and Pretty: A Novel,2.9,,HarperCollins Publishers,6-Jun-17,80584,3,13,-10
Housekeeping,3.3,0.09,Picador,1-Nov-04,19746,3,13,-10
Paris Never Leaves You: A Novel,3.9,0,St. Martin''s Publishing Group,4-Aug-20,45772,3,13,-10
The Feral Detective,3.3,0,HarperCollins Publishers,27-Aug-19,45372,3,13,-10
The Unraveling of Cassidy Holmes: A Novel,3.5,0,HarperCollins Publishers,1-Sep-20,42369,3,13,-10
Things You Save in a Fire: A Novel,4.6,0,St. Martin''s Publishing Group,14-Jul-20,9532,3,13,-10
https://www.barnesandnoble.com/w/the-world-that-we-knew-alice-hoffman/1130507682?ean=9781501137587,4.7,0.12,Simon & Schuster,1-Sep-20,9145,3,13,-10
The Guest Book,4,0.17,Flatiron Books,5-May-20,1245,3,13,-10
The Wartime Sisters,4.4,0,St. Martin''s Publishing Group,10-Mar-20,22383,3,13,-10
"Ask Again, Yes: A Novel",4.2,0.18,Scribner,5-May-20,2828,3,13,-10
Wolf Hall,3.6,0.11,Picador,31-Aug-10,4600,3,13,-10
Then She Was Gone,4.5,0.13,Atria Books,6-Nov-18,399,3,9,-6
The Wife Between Us,4.3,0.12,St. Martin''s Publishing Group,30-Oct-18,6351,3,9,-6
Whisper Network,3.8,0,Flatiron Books,7-Jul-20,17223,3,9,-6
Daughter of a Daughter of a Queen: A Novel,4.9,0.11,St. Martin's Publishing Group,4-Feb-20,31614,3,9,-6
The Last Widow ,4.7,0,HarperCollins Publishers,14-Jul-20,7817,3,9,-6
The Leaving,3.6,0,Bloomsbury USA,6-Jun-17,991,3,9,-6
The Murder of Roger Ackroyd,4.3,0,HarperCollins UK,1-Feb-12,49117,3,9,-6
The Woman in Cabin 10,3.7,0,Gallery/Scout Press,11-Apr-17,969,3,9,-6
Never Have I Ever,4.3,0,HarperCollins Publishers,28-Apr-20,1589,3,9,-6
The Lying Game,3.3,0.12,Gallery/Scout Press,6-Mar-18,6770,3,9,-6
No Happy Endings,5,0,HarperCollins Publishers,24-Mar-20,42348,3,15,-12
"Promise Me, Dad: A Year of Hope, Hardship, and Purpose",4.5,0.08,Flatiron Books,20-Nov-18,566,3,15,-12
Love Warrior,4.7,0,Flatiron Books,6-Sep-16,272,3,15,-12
Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think,4.5,0,Flatiron Books,7-Apr-20,8567,3,15,-12
"Sing, Unburied, Sing",4.3,0,Scribner,8-May-18,4335,3,15,-12
"Extraordinary Insects: The Fabulous, Indispensable Creatures Who Run Our World",0,0,Simon & Schuster,7-Jul-20,41607,3,15,-12
Three Women,4.1,0,Avid Reader Press / Simon & Schuster,7-Jul-20,12643,3,15,-12
"Thinking, Fast and Slow",4.2,0.11,"Farrar, Straus and Giroux",2-Apr-13,441,3,15,-12
"The British Are Coming: The War for America, Lexington to Princeton, 1775-1777",5,0.11,"Holt, Henry & Company, Inc.",7-Apr-20,8228,3,15,-12
"Unspeakable Acts: True Tales of Crime, Murder, Deceit, and Obsession",2.8,0,HarperCollins Publishers,28-Jul-20,52971,3,15,-12
"This Is Major: Notes on Diana Ross, Dark Girls, and Being Dope",0,0,HarperCollins Publishers,30-Jun-20,99996,3,15,-12
Disloyal: A Memoir: The True Story of the Former Personal Attorney to President Donald J. Trump,4.4,0.3,Skyhorse,8-Sep-20,690,3,19,-16
True Crimes and Misdemeanors: The Investigation of Donald Trump,5,0,Knopf Doubleday Publishing Group,4-Aug-20,4364,3,19,-16
https://www.barnesandnoble.com/w/white-house-inc-dan-alexander/1134846440?ean=9780593188521 ,5,0.14,Penguin Publishing Group,22-Sep-20,60488,3,19,-16
The Room Where It Happened: A White House Memoir,3.1,0.5,Simon & Schuster,23-Jun-20,392,3,19,-16
"Hoax: Donald Trump, Fox News, and the Dangerous Distortion of Truth",3.9,0.21,Atria/One Signal Publishers,25-Aug-20,1463,3,19,-16
Compromised: Counterintelligence and the Threat of Donald J. Trump,0,0,HMH Books,8-Sep-20,2991,3,19,-16
https://www.barnesandnoble.com/w/too-much-and-never-enough-mary-l-trump-phd/1137181290?ean=9781982141462 ,3.8,0.2,Simon & Schuster,14-Jul-20,134,3,19,-16